1097,Marty Clary,SP
110,Steve Rosenberg,SP
111,Tom Filer,SP
112,Clay Parker,SP
113,Dana Kiecker,SP
114,Frank Wills,SP
1098,Francisco Oliveras,SP
1099,Danny Cox,SP
1100,Brian Barnes,SP
1101,Bob Patterson,SP
1102,Tim Birtsas,SP
1103,Bill Sampen,SP
1104,Cris Carpenter,SP
115,Charles Hudson,SP
116,Jose Mesa,SP
117,Mike Birkbeck,SP
118,Steve Searcy,SP
1105,Mike Krukow,SP
1106,Randy Kramer,SP
1107,Brian Fisher,SP
1108,Mike Hartley,SP
119,Mark Leiter,SP
120,Freddie Toliver,SP
121,Sergio Valdez,SP
122,Jeff Musselman,SP
1109,Darryl Kile,SP
1110,Tony Castillo,SP
123,Dave Eiland,SP
1111,Xavier Hernandez,SP
1112,Marvin Freeman,SP
1113,David Palmer,SP
1114,John Wetteland,SP
124,Mike Gardiner,SP
125,Adam Peterson,SP
126,John Barfield,SP
1115,Randy O'Neal,SP
127,Juan Guzman,SP
1116,Jim Corsi,SP
1117,Jason Grimsley,SP
128,Mike Campbell,SP
1118,Charlie Puleo,SP
129,Charlie Lea,SP
130,Russ Swan,SP
131,Jeff Johnson,SP
1119,Floyd Youmans,SP
132,Tom Edens,SP
133,Jeff Shaw,SP
1120,Vicente Palacios,SP
1121,Rick Reed,SP
1122,Greg Mathews,SP
134,Wayne Edwards,SP
135,Neil Allen,SP
136,Joe Grahe,SP
137,Wade Taylor,SP
138,John Mitchell,SP
139,Mike Fetters,SP
1123,Frank Castillo,SP
1124,Chris Hammond,SP
1125,Bob Scanlan,SP
140,Juan Nieves,SP
141,Dave Otto,SP
142,Joe Slusarski,SP
143,Tim Drummond,SP
144,Dennis Powell,SP
145,Terry Clark,SP
146,Willie Blair,SP
147,Gene Harris,SP
1126,Al Nipper,SP
1127,Jose Nunez,SP
148,Brian Bohanon,SP
149,Steve Ontiveros,SP
150,Brian DuBois,SP
1128,Jose Melendez,SP
1129,Greg Booker,SP
151,Al Leiter,SP
152,Gerald Alexander,SP
153,Kevin Ritz,SP
154,Mike Mussina,SP
1130,Don Sutton,SP
1131,Mario Soto,SP
155,Kevin Brown(Mil),SP
156,Kevin Morton,SP
157,Steve Trout,SP
1132,Pete Schourek,SP
158,Oswaldo Peraza,SP
159,Jeff Sellers,SP
1133,Kip Gross,SP
160,Eric Hetzel,SP
1134,Kevin Coffman,SP
1135,Chris Haney,SP
161,Stew Cliburn,SP
162,Les Straker,SP
163,Paul Abbott,SP
164,Odell Jones,SP
1136,Joaquin Andujar,SP
165,Ramon Garcia,SP
1137,Bob Sebra,SP
166,Scott Lewis,SP
167,Mike Walker,SP
168,Duane Ward,RP
169,Chuck Crim,RP
170,Dennis Lamp,RP
171,Mark Williamson,RP
172,Juan Berenguer,RP
1138,Roger McDowell,RP
173,Mike Jackson,RP
1139,Paul Assenmacher,RP
174,Mike Henneman,RP
1140,Juan Agosto,RP
1141,Craig Lefferts,RP
1142,Tim Burke,RP
175,Steve Farr,RP
176,Jeff Montgomery,RP
1143,Rob Dibble,RP
177,Terry Leach,RP
1144,Alejandro Pena,RP
178,Bobby Thigpen,RP
1145,Jeff Parrett,RP
179,Lee Guetterman,RP
1146,Mark Davis,RP
1147,Tim Crews,RP
1148,Steve Bedrosian,RP
180,Gene Nelson,RP
1149,Larry Andersen,RP
181,Doug Jones,RP
182,Lee Smith,RP
1150,Mitch Williams,RP
183,Mark Eichhorn,RP
1151,Jeff Brantley,RP
184,Rob Murphy,RP
1152,John Franco,RP
1153,Joe Boever,RP
185,Tom Henke,RP
186,Dave Righetti,RP
187,Dennis Eckersley,RP
1154,Barry Jones,RP
188,Dan Plesac,RP
189,Bryan Harvey,RP
1155,Bob Kipper,RP
190,Donn Pall,RP
1156,Jay Howell,RP
1157,Frank DiPino,RP
191,Rick Honeycutt,RP
192,Jeff Reardon,RP
193,Gregg Olson(P),RP
194,Jesse Orosco,RP
1158,Bill Landrum,RP
195,Jerry Reed,RP
196,Lance McCullers,RP
197,Mark Thurmond,RP
198,Ken Patterson,RP
199,Mike Schooler,RP
1159,Jim Gott,RP
200,Jerry Gleaton,RP
1160,Dave Smith,RP
1161,Ken Dayley,RP
201,Edwin Nunez,RP
202,Cecilio Guante,RP
203,Dale Mohorcic,RP
204,Steve Olin,RP
205,Greg Minton,RP
206,Bob Stanley,RP
207,Steve Crawford,RP
208,Todd Frohwirth,RP
1162,Jeff Innis,RP
209,Tom Niedenfuer,RP
1163,John Costello,RP
1164,Darrel Akerfelds,RP
1165,Jose Alvarez,RP
1166,Dan Schatzeder,RP
210,Tony Fossas,RP
211,Julio Machado,RP
1167,Stan Belinda,RP
1168,Don Aase,RP
1169,Rich Gossage,RP
1170,Dan Quisenberry,RP
1171,Todd Worrell,RP
1172,Drew Hall,RP
1173,Scott Ruskin,RP
1174,Curt Schilling,RP
212,Paul Mirabella,RP
213,Frank Williams,RP
1175,Kent Tekulve,RP
1176,Dwayne Henry,RP
1177,Rich Rodriguez,RP
1178,Chuck McElroy,RP
214,Craig McMurtry,RP
215,Scott Radinsky,RP
216,Gary Wayne,RP
1179,Kent Mercker,RP
1180,Steve Frey,RP
217,Bob McClure,RP
218,Keith Atherton,RP
219,Jeff Gray,RP
220,Brad Arnsberg,RP
221,Doug Sisk,RP
222,Mike Timlin,RP
1181,Doug Bair,RP
223,John Habyan,RP
224,Brad Havens,RP
1182,Mike Stanton,RP
225,Joe Klink,RP
226,Carl Willis,RP
1183,Tim Layana,RP
227,Steve Shields,RP
228,Willie Hernandez,RP
1184,Pat Perry,RP
229,Darren Holmes,RP
1185,Al Osuna,RP
230,Gary Mielke,RP
231,Kevin Hickey,RP
232,Mark Lee,RP
1186,Mel Rojas,RP
233,Rich Monteleone,RP
1187,Dave Leiper,RP
234,Keith Comstock,RP
235,Tom McCarthy,RP
236,Steve Chitren,RP
1188,Rick Luecken,RP
237,Tim Stoddard,RP
1189,Wally Ritchie,RP
1190,Tony Pena,C
238,B.J. Surhoff,C
1191,Benito Santiago,C
239,Mickey Tettleton,C
240,Lance Parrish,C
1192,Craig Biggio,C
1193,Mike Scioscia,C
241,Terry Steinbach,C
242,Carlton Fisk,C
243,Matt Nokes,C
244,Brian Harper,C
1194,Darren Daulton,C
245,Dave Valle,C
1195,Mike LaValliere,C
1196,Todd Zeile,C
246,Don Slaught,C
1197,Gary Carter,C
247,Mike Heath,C
248,Geno Petralli,C
1198,Terry Kennedy,C
249,Ernie Whitt,C
250,Bob Melvin,C
251,Mike Macfarlane,C
1199,Jeff Reed,C
1200,Mike Fitzgerald,C
252,Scott Bradley,C
253,Pat Borders,C
254,Ron Hassey,C
1201,Tom Pagnozzi,C
255,Rick Cerone,C
256,Bob Boone,C
257,Andy Allanson,C
1202,Nelson Santovenia,C
1203,Damon Berryhill,C
258,Joel Skinner,C
259,Mike Stanley,C
1204,Joe Oliver,C
1205,Mackey Sasser,C
260,Rich Gedman,C
1206,Greg Olson(C),C
261,Charlie O'Brien,C
1207,Lloyd McClendon,C
1208,Junior Ortiz,C
262,Ron Karkovice,C
1209,Rick Dempsey,C
263,Sandy Alomar,C
264,Jamie Quirk,C
265,Tim Laudner,C
1210,Joe Girardi,C
266,Bob Geren,C
267,Greg Myers,C
1211,Jody Davis,C
268,Mark Salas,C
1212,Kirt Manwaring,C
1213,Mark Parent,C
1214,Steve Lake,C
1215,Bo Diaz,C
1216,Alex Trevino,C
269,Chris Hoiles,C
1217,Bruce Benedict,C
1218,Barry Lyons,C
1219,John Russell,C
1220,Bob Brenly,C
1221,Ozzie Virgil,C
1222,Hector Villanueva,C
270,Bill Schroeder,C
271,Jim Sundberg,C
1223,Alan Ashby,C
1224,Steve Decker,C
272,Ivan Rodriguez,C
273,Chad Kreuter,C
1225,Francisco Cabrera,C
274,Brent Mayne,C
275,Matt Merullo,C
276,John Marzano,C
1226,Rick Wilkins,C
