216,Bruce Bochy,C
217,Nelson Santovenia,C
218,Dann Bilardello,C
219,Alan Knicely,C
220,Ronn Reynolds,C
221,Tom Pagnozzi,C
222,Barry Lyons,C
223,Lloyd McClendon,C
224,Terry McGriff,C
225,Von Hayes,1B
226,Keith Hernandez,1B
227,Glenn Davis,1B
228,Jack Clark,1B
229,Sid Bream,1B
230,Leon Durham,1B
231,Will Clark,1B
232,Andres Galarraga,1B
233,Nick Esasky,1B
234,Gerald Perry,1B
235,Steve Garvey,1B
236,Bob Horner,1B
237,John Kruk,1B
238,Franklin Stubbs,1B
239,Terry Francona,1B
240,Pete Rose,1B
241,Dan Driessen,1B
242,Jason Thompson,1B
243,Mark Grace,1B
244,Tony Perez,1B
245,Harry Spilman,1B
246,David Green,1B
247,Wallace Johnson,1B
248,Chris Chambliss,1B
249,Ricky Jordan,1B
250,Clint Hurdle,1B
251,Mike Laga,1B
252,Tim Corcoran,1B
253,Juan Samuel,2B
254,Ryne Sandberg,2B
255,Steve Sax,2B
256,Johnny Ray,2B
257,Bill Doran,2B
258,Tom Herr,2B
259,Vance Law,2B
260,Glenn Hubbard,2B
261,Wally Backman,2B
262,Robby Thompson,2B
263,Ron Oester,2B
264,Tim Teufel,2B
265,Tim Flannery,2B
266,Phil Garner,2B
267,Randy Ready,2B
268,Manny Trillo,2B
269,Jose Oquendo,2B
270,Jerry Royster,2B
271,Jose Lind,2B
272,Casey Candaele,2B
273,Ron Gant,2B
274,Roberto Alomar,2B
275,Jim Pankovits,2B
276,Jeff Treadway,2B
277,Luis Alicea,2B
278,Brad Wellman,2B
279,Rex Hudler,2B
280,Joey Cora,2B
281,Bip Roberts,2B
282,Mike Woodard,2B
283,Tom Lawless,2B
284,Keith Moreland,3B
285,Tim Wallach,3B
286,Mike Schmidt,3B
287,Terry Pendleton,3B
288,Buddy Bell,3B
289,Ken Oberkfell,3B
290,Pedro Guerrero,3B
291,Bobby Bonilla,3B
292,Chris Brown,3B
293,Jim Morrison,3B
294,Kevin Mitchell,3B
295,Bill Madlock,3B
296,Denny Walling,3B
297,Graig Nettles,3B
298,Rick Schu,3B
299,Ron Cey,3B
300,Davey Lopes,3B
301,Enos Cabell,3B
302,Dave Magadan,3B
303,Chris Sabo,3B
304,Jeff Hamilton,3B
305,Wayne Krenchicki,3B
306,Tracy Woodson,3B
307,Ken Caminiti,3B
308,Paul Runge,3B
309,Ozzie Smith,SS
310,Garry Templeton,SS
311,Hubie Brooks,SS
312,Rafael Santana,SS
