1476,1314,Andres Thomas
1475,384,Alvaro Espinoza
1466,1018,John Smoltz
1461,1019,Zane Smith
1461,1261,Bip Roberts
1455,457,Dave Gallagher
1449,19,Bud Black
1446,1020,Dennis Rasmussen
1444,1194,Darren Daulton
1444,20,Allan Anderson
1429,353,Edgar Martinez
1426,21,Melido Perez
1424,1021,Kevin Gross
1423,22,Jimmy Key
1421,23,Kirk McCaskill
1420,458,Chet Lemon
1400,459,Pat Tabler
1399,1315,Jeff Blauser
1395,245,Dave Valle
1394,385,Walt Weiss
1383,1287,Charlie Hayes
1380,460,Oddibe McDowell
1379,1022,Bob Ojeda
1371,461,Steve Finley
1365,24,Dave Stieb
1364,354,Steve Lyons
1359,25,Bobby Witt
1353,26,Brian Holman
1349,1023,Jose Rijo
1347,1363,Mike Marshall
1347,27,Andy Hawkins
1343,1024,Mike Morgan
1341,1025,Rick Mahler
1337,1288,Lenny Harris
1335,289,Greg Brock
1322,1026,Orel Hershiser
1319,1195,Mike LaValliere
1316,1364,John Shelby
1314,462,Stan Javier
1307,1027,Mike Scott
1307,1028,Bob Walk
1305,1029,Don Robinson
1303,463,Randy Bush
1299,1365,Otis Nixon
1295,28,Todd Stottlemyre
1294,1366,Glenn Wilson
1293,355,Robin Ventura
1291,464,Henry Cotto
1287,1196,Todd Zeile
1287,1238,Sid Bream
1282,1239,Franklin Stubbs
1272,29,Jim Abbott
1266,325,Frank White
1264,1367,Carmelo Martinez
1262,465,Greg Briley
1259,1030,Sid Fernandez
1258,356,Craig Worthington
1251,30,Jeff Ballard
1250,357,Darnell Coles
1249,1368,Gary Redus
1246,1369,Jerome Walton
1241,1262,Wally Backman
1238,246,Don Slaught
1235,31,Jack McDowell
1233,466,Brady Anderson
1229,1263,Delino DeShields
1226,1370,Daryl Boston
1225,290,Dave Bergman
1219,467,Larry Sheets
1217,358,Gary Sheffield
1215,32,Randy Johnson
1212,1289,Vance Law
1210,33,Kevin Brown
1208,1197,Gary Carter
1207,1031,Joe Magrane
1205,468,Junior Felix
1205,1032,Mike Bielecki
1204,326,Marty Barrett
1202,247,Mike Heath
1197,386,Bill Spiers
1195,248,Geno Petralli
1195,34,Storm Davis
1191,291,Carlos Quintana
1190,1316,Tom Foley
1188,1198,Terry Kennedy
1186,1371,Dion James
1178,1033,Ramon Martinez
1175,35,Bob Milacki
1173,36,Mike Witt
1171,1264,Randy Ready
1170,249,Ernie Whitt
1169,469,Jay Buhner
1168,327,Nelson Liriano
1165,37,Bert Blyleven
1160,387,Omar Vizquel
1157,1317,Ernie Riles
1152,38,Scott Sanderson
1148,1034,Terry Mulholland
1147,470,Greg Vaughn
1146,1035,Rick Sutcliffe
1138,1265,Tim Teufel
1138,39,Teddy Higuera
1136,1372,Felix Jose
1135,40,Greg Harris
1131,41,Erik Hanson
1130,250,Bob Melvin
1129,1036,Danny Jackson
1123,1037,OilCan Boyd
1121,251,Mike Macfarlane
1115,42,John Cerutti
1115,292,Nick Esasky
1109,1199,Jeff Reed
1103,359,Rance Mulliniks
1102,1038,Rick Reuschel
1099,471,Sammy Sosa
1096,1200,Mike Fitzgerald
1089,1039,Danny Darwin
1086,1040,Fernando Valenzuela
1085,252,Scott Bradley
1085,43,Greg Hibbard
1082,1318,Mariano Duncan
1077,253,Pat Borders
1076,1041,Bruce Ruffin
1076,44,David Wells
1070,293,Steve Balboni
1064,45,Tom Gordon
1064,254,Ron Hassey
1061,1042,Mark Portugal
1060,1373,Larry Walker
1059,46,Eric King
1058,472,Mike Felder
1051,473,Cecil Espy
1046,47,Bill Swift
1046,474,Claudell Washington
1045,475,Fred Lynn
1043,48,Pete Harnisch
1037,1374,Mike Aldrete
1030,49,John Farrell
1027,1201,Tom Pagnozzi
1026,476,Dante Bichette
1023,328,Fred Manrique
1022,1375,David Justice
1021,255,Rick Cerone
1018,1043,Jim Clancy
1016,1290,Jeff Hamilton
1009,1376,Keith Moreland
1004,388,Bill Pecota
1003,50,Mike Flanagan
999,51,Jeff Robinson
998,1044,Eric Show
994,1377,Marquis Grissom
986,1045,Scott Garrelts
986,52,Jaime Navarro
979,1378,R.J. Reynolds
979,389,Carlos Baerga
978,360,Carlos Martinez
973,256,Bob Boone
970,257,Andy Allanson
969,53,Dave LaPoint
965,477,Shane Mack
964,1046,Andy Benes
953,1266,Casey Candaele
948,1047,Pascual Perez
947,1048,Don Carman
946,54,Bill Wegman
944,294,John Olerud
941,1049,Ken Hill
937,1319,Eric Yelding
936,1202,Nelson Santovenia
936,478,Tracy Jones
935,295,Frank Thomas
933,1291,Ken Oberkfell
933,1320,Curtis Wilkerson
925,1050,Pete Smith
923,168,Duane Ward
922,1379,Marvell Wynne
920,55,Curt Young
919,390,Dale Sveum
919,1051,Neal Heaton
915,1321,Rafael Belliard
913,479,Gary Ward
908,1203,Damon Berryhill
904,56,Doyle Alexander
898,258,Joel Skinner
887,296,Kevin Maas
887,57,Kevin Tapani
886,58,Roy Smith
883,59,Dan Petry
883,1380,Darrin Jackson
880,60,Don August
877,391,Jeff Huson
876,61,Willie Fraser
876,1240,Hal Morris
875,1381,Dwight Smith
869,62,Greg Cadaret
868,392,Donnie Hill
863,297,Ron Kittle
861,1052,Scott Terry
858,259,Mike Stanley
856,1322,Steve Jeltz
855,63,Paul Kilgus
851,1053,Kelly Downs
850,393,Travis Fryman
849,1382,Herm Winningham
848,1204,Joe Oliver
847,1054,Les Lancaster
842,1205,Mackey Sasser
841,260,Rich Gedman
839,64,Bill Gullickson
839,1267,Rex Hudler
839,361,Darrell Evans
838,1055,Norm Charlton
838,65,Scott Bankhead
835,362,Tom Brookens
835,66,Paul Gibson
832,480,Brian McRae
830,67,Kevin Appier
830,481,Pat Sheridan
827,1056,Jack Armstrong
825,1057,Jimmy Jones
823,1059,Jeff Robinson
823,1058,Jamie Moyer
821,1060,John Burkett
816,1323,Dave Anderson
816,1324,Luis Quinones
807,1061,Greg Harris
799,169,Chuck Crim
795,68,Bill Krueger
794,482,Kenny Williams
791,69,Luis Aquino
788,1206,Greg Olson
786,1268,Keith Miller
786,394,Rey Quinones
785,170,Dennis Lamp
781,171,Mark Williamson
780,1383,Ken Griffey
779,1062,Mike LaCoss
775,363,Rick Schu
773,521,Sam Horn
769,1241,Keith Hernandez
769,1063,Bob Knepper
767,261,Charlie O'Brien
764,1384,Doug Dascenzo
759,522,Jim Rice
758,1207,Lloyd McClendon
754,1292,Jeff King
753,70,Jose Guzman
752,483,Juan Gonzalez
747,1064,Trevor Wilson
747,1385,Ray Lankford
747,484,Albert Belle
742,1065,Randy Myers
741,172,Juan Berenguer
741,1066,Calvin Schiraldi
739,1293,Mike Sharperson
738,1386,Terry Puhl
737,1138,Roger McDowell
735,298,Ken Phelps
733,71,Eric Plunk
733,1067,Bob Tewksbury
732,72,Jeff Russell
729,173,Mike Jackson
723,1139,Paul Assenmacher
721,1242,Tommy Gregg
